Industry,Transport,Residential,Commercial and public services,Agriculture / forestry,Units
1990,54029,4190,13241,8683,4147,TJ
1995,32926,4964,17993,19091,3254,TJ
2000,35068,3474,19508,18965,2221,TJ
2005,39722,2059,16924,22144,1411,TJ
2010,39337,1937,15732,28850,1030,TJ
2015,41778,2167,18126,24718,947,TJ
2019,44086,1908,19631,23954,1112,TJ
