2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000
15372877,16132568,17307700,17355687,16751859,17062629,16834883,16778485,17883503,17435523,16458381,15876548,17775272,17620674,17445583,16335198,17033793,17098730,16463497,17587624,18077490
173.5,162.8,152.6,147.7,153.6,154.3,161.3,179.3,178.7,173.7,160.8,166.2,155.9,153.8,153,145.1,143.4,126.8,100.3,100.8,76.9
