,Coal,Oil,Natural gas,Nuclear,Hydro,Waste,Biofuels,Other sources,Wind,Solar PV,Total
2010,4080,600,2206,14574,5649,46.0,640.0,40.0,6.0,17.0,27858.0
2015,3332,384,1604,15146,4137,48.0,1640.0,100.0,6.0,506.0,26903.0
2020,2121,426,3618,15417,4739,38.0,1509.0,62.0,4.0,656.0,28590.0
