,Progress,Duration (in seconds),Age,Gender_f,Income,No Income,Energy Consumption,payment_1,Region,Region West,Region East,Household_size,Concern_1,RES_attitude_1,Know_green_provider,Providers_count,Appliance_count,Task_temp,Task_source,Task_consumption,Task_appliances,Set1_a,Set1_b,Set2_a,Set2_b,Set3_a,Set3_b,Set4_a,Set4_b,Set5_a,Set5_b,Set6_a,Set6_b,Set7_a,Set7_b,Set8_a,Set8_b,Set9_a,Set9_b,Set10_a,Set10_b,Set11_a,Set11_b,Set12_a,Set12_b
count,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0,112.0
mean,99.96428571428571,3128.598214285714,38.517857142857146,0.4017857142857143,3.8125,0.05357142857142857,0.4375,67.5,2.232142857142857,0.3125,0.5446428571428571,2.875,3.0357142857142856,3.6607142857142856,0.15178571428571427,3.8392857142857144,4.044642857142857,3.169642857142857,2.4642857142857144,4.205357142857143,4.223214285714286,0.48214285714285715,0.5178571428571429,0.39285714285714285,0.6071428571428571,0.7321428571428571,0.26785714285714285,0.2857142857142857,0.7142857142857143,0.5089285714285714,0.49107142857142855,0.48214285714285715,0.5178571428571429,0.5357142857142857,0.4642857142857143,0.41964285714285715,0.5803571428571429,0.6785714285714286,0.32142857142857145,0.6517857142857143,0.3482142857142857,0.44642857142857145,0.5535714285714286,0.6607142857142857,0.3392857142857143
std,0.26605463872120483,17431.74054949367,13.134770678325555,0.4924624909770338,1.6304050787214572,0.22618200891826293,0.498307947770062,40.50136245066776,0.9002716592723884,0.46559561776210834,0.5002412545375609,1.2953485739089412,1.030425184948457,1.0445359453151153,0.3604257099690481,2.0159435294740558,1.3714488482520746,1.3348306425434067,1.169650532459319,0.8609484907544146,0.9075243170848848,0.5019267894130597,0.5019267894130596,0.49058051395182933,0.49058051395182933,0.4448330561867542,0.4448330561867542,0.45378431652075163,0.45378431652075163,0.5021671182702172,0.5021671182702172,0.5019267894130597,0.5019267894130597,0.5009643210501632,0.5009643210501632,0.49571847679586045,0.49571847679586045,0.4691238856391987,0.4691238856391987,0.47854549575332117,0.47854549575332117,0.49935608472962445,0.49935608472962445,0.47559486560567094,0.47559486560567094
min,98.0,158.0,18.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,100.0,260.75,25.0,0.0,3.0,0.0,0.0,39.0,1.0,0.0,0.0,2.0,2.0,3.0,0.0,2.0,3.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50%,100.0,368.0,36.0,0.0,4.0,0.0,0.0,54.0,3.0,0.0,1.0,3.0,3.0,4.0,0.0,4.0,4.0,3.0,3.0,4.0,4.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0
75%,100.0,574.5,51.0,1.0,5.0,0.0,1.0,89.75,3.0,1.0,1.0,4.0,4.0,4.0,0.0,5.0,5.0,4.0,3.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
max,100.0,164215.0,65.0,1.0,6.0,1.0,1.0,200.0,3.0,1.0,1.0,7.0,5.0,5.0,1.0,12.0,8.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
